,index,movieId,title,genres,databaseId,nbMentions
110,112,280,Murder in the First (1995),Drama|Thriller,78479,1
111,113,282,Nell (1994),Drama,172042,1
112,114,283,New Jersey Drive (1995),Crime|Drama,82467,1
113,115,288,Natural Born Killers (1994),Action|Crime|Thriller,117907,42
114,116,289,Only You (1994),Comedy|Romance,98930,7
115,117,292,Outbreak (1995),Action|Drama|Sci-Fi|Thriller,204109,1
116,118,296,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller,91332,190
117,119,303,"Quick and the Dead, The (1995)",Action|Thriller|Western,173935,4
118,120,313,"Swan Princess, The (1994)",Animation|Children,186519,8
119,121,314,"Secret of Roan Inish, The (1994)",Children|Drama|Fantasy|Mystery,113721,3
120,122,315,"Specialist, The (1994)",Action|Drama|Thriller,165778,1
121,123,316,Stargate (1994),Action|Adventure|Sci-Fi,193034,7
122,124,317,"Santa Clause, The (1994)",Comedy|Drama|Fantasy,180808,17
123,125,318,The Shawshank Redemption (1994),Crime|Drama,181299,133
124,126,319,Shallow Grave (1994),Comedy|Drama|Thriller,116352,1
125,127,327,Tank Girl (1995),Action|Comedy|Sci-Fi,165067,5
126,128,330,Tales from the Hood (1995),Action|Crime|Horror,132385,1
127,129,333,Tommy Boy (1995),Comedy,170060,46
128,130,336,"Walking Dead, The (1995)",Drama|War,139321,1
129,131,337,What's Eating Gilbert Grape (1993),Drama,82476,20
130,132,339,While You Were Sleeping (1995),Comedy|Romance,135090,49
131,133,342,Muriel's Wedding (1994),Comedy,168050,1
132,134,343,"Baby-Sitters Club, The (1995)",Children,88451,1
133,135,344,Ace Ventura: Pet Detective (1994),Comedy,190418,71
134,136,349,Clear and Present Danger (1994),Action|Crime|Drama|Thriller,194987,3
135,137,350,"Client, The (1994)",Drama|Mystery|Thriller,82284,7
136,138,352,Crooklyn (1994),Comedy|Drama,89973,3
137,139,353,"Crow, The (1994)",Action|Crime|Fantasy|Thriller,186732,8
138,140,356,Forrest Gump (1994),Comedy|Drama|Romance|War,162882,191
139,141,357,Four Weddings and a Funeral (1994),Comedy|Romance,186271,36
140,142,361,It Could Happen to You (1994),Comedy|Drama|Romance,83274,1
141,143,362,"Jungle Book, The (1994)",Adventure|Children|Romance,86506,3
142,144,364,"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX,108278,152
143,145,367,"Mask, The (1994)",Action|Comedy|Crime|Fantasy,166052,39
144,146,368,Maverick (1994),Adventure|Comedy|Western,80014,4
145,147,371,"Paper, The (1994)",Comedy|Drama,190662,2
146,148,372,Reality Bites (1994),Comedy|Drama|Romance,188094,1
147,149,374,Richie Rich (1994),Children|Comedy,130379,1
148,150,376,"River Wild, The (1994)",Action|Thriller,169353,2
149,151,377,Speed (1994),Action|Romance|Thriller,154857,76
150,152,379,Timecop (1994),Action|Sci-Fi|Thriller,101889,5
151,153,380,True Lies (1994),Action|Adventure|Comedy|Romance|Thriller,144550,40
152,154,381,When a Man Loves a Woman (1994),Drama|Romance,120886,1
153,155,383,Wyatt Earp (1994),Western,178136,4
154,156,387,"Low Down Dirty Shame, A (1994)",Action|Comedy,77946,1
155,157,410,Addams Family Values (1993),Children|Comedy|Fantasy,148213,1
156,158,412,"Age of Innocence, The (1993)",Drama,162016,3
157,159,413,Airheads (1994),Comedy,177227,1
158,160,416,Bad Girls (1994),Western,98981,1
159,161,420,Beverly Hills Cop III (1994),Action|Comedy|Crime|Thriller,193672,2
160,162,421,Black Beauty (1994),Adventure|Children|Drama,77358,4
161,163,423,Blown Away (1994),Action|Thriller,153707,4
162,164,424,Blue Chips (1994),Drama,87689,1
163,165,426,Body Snatchers (1993),Horror|Sci-Fi|Thriller,111585,1
164,166,427,Boxing Helena (1993),Drama|Mystery|Romance|Thriller,179112,12
165,167,428,"Bronx Tale, A (1993)",Drama,188047,12
166,168,431,Carlito's Way (1993),Crime|Drama,91677,6
167,169,434,Cliffhanger (1993),Action|Adventure|Thriller,85879,11
168,170,435,Coneheads (1993),Comedy|Sci-Fi,139150,9
169,171,440,Dave (1993),Comedy|Romance,97667,2
170,172,441,Dazed and Confused (1993),Comedy,124708,29
171,173,442,Demolition Man (1993),Action|Adventure|Sci-Fi,173194,13
172,174,454,"Firm, The (1993)",Drama|Thriller,181540,2
173,176,455,Free Willy (1993),Adventure|Children|Drama,91611,1
174,178,457,"Fugitive, The (1993)",Thriller,167064,11
175,179,464,Hard Target (1993),Action|Adventure|Crime|Thriller,127291,1
176,180,465,Heaven & Earth (1993),Action|Drama|War,84434,1
177,181,466,Hot Shots! Part Deux (1993),Action|Comedy|War,147910,12
178,182,473,In the Army Now (1994),Comedy|War,120792,2
179,183,474,In the Line of Fire (1993),Action|Thriller,157850,8
180,184,476,"Inkwell, The (1994)",Comedy|Drama,155576,1
181,185,480,Jurassic Park (1993),Action|Adventure|Sci-Fi|Thriller,101158,33
182,187,481,Kalifornia (1993),Drama|Thriller,159810,7
183,188,482,Killing Zoe (1994),Crime|Drama|Thriller,93258,1
184,189,483,King of the Hill (1993),Drama,136234,1
185,190,484,Lassie (1994),Adventure|Children,152142,6
186,191,485,Last Action Hero (1993),Action|Adventure|Comedy|Fantasy,201861,20
187,192,488,M. Butterfly (1993),Drama|Romance,124856,1
188,193,490,Malice (1993),Thriller,122621,1
189,194,491,"Man Without a Face, The (1993)",Drama,95186,2
190,195,494,Executive Decision (1996),Action|Adventure|Thriller,135640,1
191,196,497,Much Ado About Nothing (1993),Comedy|Romance,78559,3
192,197,499,Mr. Wonderful (1993),Comedy|Romance,91106,2
193,198,500,Mrs. Doubtfire (1993),Comedy|Drama,161983,147
194,199,507,"Perfect World, A (1993)",Crime|Drama|Thriller,82795,3
195,200,508,Philadelphia (1993),Drama,145338,24
196,201,509,"Piano, The (1993)",Drama|Romance,86104,5
197,202,514,"Ref, The (1994)",Comedy,121502,3
198,203,515,"Remains of the Day, The (1993)",Drama|Romance,146309,1
199,204,517,Rising Sun (1993),Action|Drama|Mystery,118402,2
200,205,520,Robin Hood: Men in Tights (1993),Comedy,90591,20
201,206,521,Romeo Is Bleeding (1993),Crime|Thriller,152883,1
202,207,524,Rudy (1993),Drama,140750,19
203,208,527,Schindler's List (1993),Drama|War,188808,94
204,209,528,"Scout, The (1994)",Comedy|Drama,182070,2
205,210,531,"Secret Garden, The (1993)",Children|Drama,148572,4
206,211,533,"Shadow, The (1994)",Action|Adventure|Fantasy|Mystery,163899,2
207,212,538,Six Degrees of Separation (1993),Drama,151670,3
208,213,539,Sleepless in Seattle (1993),Comedy|Drama|Romance,178711,124
209,214,540,Sliver (1993),Thriller,155564,1
210,215,541,Blade Runner (1982),Action|Sci-Fi|Thriller,147934,121
211,216,542,Son in Law (1993),Comedy|Drama|Romance,188474,8
212,217,543,So I Married an Axe Murderer (1993),Comedy|Romance|Thriller,93178,2
213,218,546,Super Mario Bros. (1993),Action|Adventure|Children|Comedy|Fantasy|Sci-Fi,96021,2
214,219,551,"Nightmare Before Christmas, The (1993)",Animation|Children|Fantasy|Musical,171615,23
215,220,553,Tombstone (1993),Action|Drama|Western,180251,28
216,221,555,True Romance (1993),Crime|Thriller,88267,23
217,222,575,"Little Rascals, The (1994)",Children|Comedy,161831,11
218,223,577,Andre (1994),Adventure|Children|Drama,138175,1
219,224,580,Princess Caraboo (1994),Drama,154118,2
220,225,585,"Brady Bunch Movie, The (1995)",Comedy,171810,2
221,226,586,Home Alone (1990),Children|Comedy,90967,5
222,228,587,Ghost (1990),Comedy|Drama|Fantasy|Romance|Thriller,89307,14
223,229,588,Aladdin (1992),Adventure|Animation|Children|Comedy|Musical,107514,77
224,231,589,Terminator 2: Judgment Day (1991),Action|Sci-Fi,139878,62
225,232,590,Dances with Wolves (1990),Adventure|Drama|Western,79136,26
226,233,592,Batman (1989),Action|Crime|Thriller,132481,28
227,235,593,The Silence of the Lambs (1991),Crime|Horror|Thriller,203424,249
228,236,594,Snow White and the Seven Dwarfs (1937),Animation|Children|Drama|Fantasy|Musical,78766,11
229,237,595,Beauty and the Beast (1991),Animation|Children|Fantasy|Musical|Romance|IMAX,151488,2
230,238,596,Pinocchio (1940),Animation|Children|Fantasy|Musical,76757,2
231,239,597,Pretty Woman (1990),Comedy|Romance,84798,228
232,240,599,"Wild Bunch, The (1969)",Adventure|Western,82569,3
233,241,605,One Fine Day (1996),Drama|Romance,87954,4
234,242,606,Candyman: Farewell to the Flesh (1995),Fantasy|Horror,134346,1
235,243,608,Fargo (1996),Comedy|Crime|Drama|Thriller,81385,71
236,244,609,Homeward Bound II: Lost in San Francisco (1996),Adventure|Children,79811,7
237,245,616,"Aristocats, The (1970)",Animation|Children,170213,6
238,246,619,Ed (1996),Comedy,86827,2
239,247,628,Primal Fear (1996),Crime|Drama|Mystery|Thriller,83766,27
240,248,631,All Dogs Go to Heaven 2 (1996),Adventure|Animation|Children|Fantasy|Musical|Romance,115723,6
241,249,637,Sgt. Bilko (1996),Comedy,127011,6
242,250,640,Diabolique (1996),Drama|Thriller,111030,1
243,251,647,Courage Under Fire (1996),Action|Crime|Drama|War,125914,3
244,252,648,Mission: Impossible (1996),Action|Adventure|Mystery|Thriller,80325,28
245,254,653,Dragonheart (1996),Action|Adventure|Fantasy,111598,5
246,255,656,Eddie (1996),Comedy,145212,1
247,256,661,James and the Giant Peach (1996),Adventure|Animation|Children|Fantasy|Musical,112260,7
248,257,663,Kids in the Hall: Brain Candy (1996),Comedy,112644,1
249,258,671,Mystery Science Theater 3000: The Movie (1996),Comedy|Sci-Fi,129492,2
250,259,673,Space Jam (1996),Adventure|Animation|Children|Comedy|Fantasy|Sci-Fi,193109,25
251,260,674,Barbarella (1968),Adventure|Comedy|Sci-Fi,198803,2
252,261,688,Operation Dumbo Drop (1995),Action|Adventure|Comedy|War,202461,1
253,262,694,"Substitute, The (1996)",Action|Crime|Drama,189988,2
254,263,704,"Quest, The (1996)",Action|Adventure,176163,1
255,264,708,"Truth About Cats & Dogs, The (1996)",Comedy|Romance,102456,1
256,265,709,Oliver & Company (1988),Adventure|Animation|Children|Comedy|Musical,95450,2
257,266,714,Dead Man (1995),Drama|Mystery|Western,134503,2
258,267,719,Multiplicity (1996),Comedy,116199,2
259,268,724,"Craft, The (1996)",Drama|Fantasy|Horror|Thriller,142603,4
260,269,725,"Great White Hype, The (1996)",Comedy,166083,1
261,270,733,"Rock, The (1996)",Action|Adventure|Thriller,139492,20
262,271,736,Twister (1996),Action|Adventure|Romance|Thriller,194965,14
263,272,742,Thinner (1996),Horror|Thriller,157490,3
264,273,743,Spy Hard (1996),Comedy,108453,5
265,274,747,"Stupids, The (1996)",Comedy,159488,3
266,275,748,"Arrival, The (1996)",Action|Sci-Fi|Thriller,144386,1
267,276,754,Gold Diggers: The Secret of Bear Mountain (1995),Adventure|Children,166906,1
268,277,762,Striptease (1996),Comedy|Crime,189403,1
269,278,765,Jack (1996),Comedy|Drama,176051,15
270,279,778,Trainspotting (1996),Comedy|Crime|Drama,161546,15
271,280,783,"Hunchback of Notre Dame, The (1996)",Animation|Children|Drama|Musical|Romance,143955,3
272,281,784,"Cable Guy, The (1996)",Comedy|Thriller,176100,24
273,282,785,Kingpin (1996),Comedy,112737,11
274,283,786,Eraser (1996),Action|Drama|Thriller,78888,7
275,284,788,"Nutty Professor, The (1996)",Comedy|Fantasy|Romance|Sci-Fi,182236,9
276,285,798,Daylight (1996),Action|Adventure|Drama|Thriller,151577,3
277,286,801,Harriet the Spy (1996),Children|Comedy,105529,1
278,287,802,Phenomenon (1996),Drama|Romance,168644,4
279,288,805,"Time to Kill, A (1996)",Drama|Thriller,78562,9
280,289,808,Alaska (1996),Adventure|Children,106018,1
281,290,809,Fled (1996),Action|Adventure,150177,2
282,291,810,Kazaam (1996),Children|Comedy|Fantasy,95501,4
283,292,828,"Adventures of Pinocchio, The (1996)",Adventure|Children,78929,1
284,293,830,"First Wives Club, The (1996)",Comedy,202156,7
285,294,832,Ransom (1996),Crime|Thriller,103180,2
286,295,837,Matilda (1996),Children|Comedy|Fantasy,98683,16
287,296,838,Emma (1996),Comedy|Drama|Romance,122408,11
288,297,849,Escape from L.A. (1996),Action|Adventure|Sci-Fi|Thriller,165085,1
289,298,852,Tin Cup (1996),Comedy|Drama|Romance,116230,2
290,299,858,Godfather The (1972),Crime|Drama,114851,13
291,301,866,Bound (1996),Crime|Drama|Romance|Thriller,95467,1
292,302,870,Gone Fishin' (1997),Comedy,159718,1
293,303,881,First Kid (1996),Children|Comedy,89005,2
294,304,886,Bulletproof (1996),Action|Comedy|Crime,96329,2
295,305,898,"Philadelphia Story, The (1940)",Comedy|Drama|Romance,143194,3
296,306,899,Singin' in the Rain (1952),Comedy|Musical|Romance,146224,22
297,307,901,Funny Face (1957),Comedy|Musical,106416,4
298,308,902,Breakfast at Tiffany's (1961),Drama|Romance,198004,43
299,309,903,Vertigo (1958),Drama|Mystery|Romance|Thriller,84837,23
300,310,904,Rear Window (1954),Mystery|Thriller,198967,32
301,311,905,It Happened One Night (1934),Comedy|Romance,193833,3
302,312,908,North by Northwest (1959),Action|Adventure|Mystery|Romance|Thriller,175969,15
303,313,909,"Apartment, The (1960)",Comedy|Drama|Romance,181072,3
304,314,910,Some Like It Hot (1959),Comedy|Crime,199989,20
305,315,912,Casablanca (1942),Drama|Romance,160038,65
306,316,913,"Maltese Falcon, The (1941)",Film-Noir|Mystery,82321,8
307,317,914,My Fair Lady (1964),Comedy|Drama|Musical|Romance,185009,11
308,318,915,Sabrina (1954),Comedy|Romance,170094,8
309,319,916,Roman Holiday (1953),Comedy|Drama|Romance,187253,13
310,320,918,Meet Me in St. Louis (1944),Musical,169470,1
311,321,919,The Wizard of Oz (1939),Adventure|Children|Fantasy|Musical,134101,40
312,322,920,Gone with the Wind (1939),Drama|Romance|War,129832,76
313,323,921,My Favorite Year (1982),Comedy,91608,1
314,324,923,Citizen Kane (1941),Drama|Mystery,77455,30
315,325,924,2001: A Space Odyssey (1968),Adventure|Drama|Sci-Fi,125118,47
316,327,926,All About Eve (1950),Drama,105461,9
317,328,928,Rebecca (1940),Drama|Mystery|Romance|Thriller,158083,3
318,329,933,To Catch a Thief (1955),Crime|Mystery|Romance|Thriller,101241,2
319,330,934,Father of the Bride (1950),Comedy,171343,3
320,331,937,Love in the Afternoon (1957),Comedy|Romance,95286,1
321,332,940,"Adventures of Robin Hood, The (1938)",Action|Adventure|Romance,131551,2
322,333,942,Laura (1944),Crime|Film-Noir|Mystery,182661,2
323,334,944,Lost Horizon (1937),Drama,150601,1
324,335,948,Giant (1956),Drama|Romance|Western,79187,1
325,336,950,"Thin Man, The (1934)",Comedy|Crime,152874,3
326,337,951,His Girl Friday (1940),Comedy|Romance,90633,3
327,338,953,It's a Wonderful Life (1946),Children|Drama|Fantasy|Romance,166466,25
328,339,954,Mr. Smith Goes to Washington (1939),Drama,97892,1
329,340,955,Bringing Up Baby (1938),Comedy|Romance,193302,5
330,341,967,"Outlaw, The (1943)",Western,120057,1
331,342,968,Night of the Living Dead (1968),Horror|Sci-Fi|Thriller,79385,31
332,344,969,"African Queen, The (1951)",Adventure|Comedy|Romance|War,151371,8
333,345,971,Cat on a Hot Tin Roof (1958),Drama,148780,2
334,346,986,Fly Away Home (1996),Adventure|Children,120896,9
335,347,996,Last Man Standing (1996),Action|Crime|Drama|Thriller,101846,1
336,348,998,Set It Off (1996),Action|Crime,154360,5
337,349,1004,"Glimmer Man, The (1996)",Action|Thriller,202234,2
338,350,1005,D3: The Mighty Ducks (1996),Children|Comedy,137641,1
339,351,1009,Escape to Witch Mountain (1975),Adventure|Children|Fantasy,163184,1
340,352,1012,Old Yeller (1957),Children|Drama,203331,25
341,353,1013,"Parent Trap, The (1961)",Children|Comedy|Romance,79289,12
342,354,1014,Pollyanna (1960),Children|Comedy|Drama,130556,3
343,355,1015,Homeward Bound: The Incredible Journey (1993),Adventure|Children|Drama,184464,49
344,356,1016,"Shaggy Dog, The (1959)",Children|Comedy,76620,1
345,357,1017,Swiss Family Robinson (1960),Adventure|Children,101921,7
346,358,1020,Cool Runnings (1993),Comedy,169402,10
347,359,1021,Angels in the Outfield (1994),Children|Comedy,75815,6
348,360,1022,Cinderella (1950),Animation|Children|Fantasy|Musical|Romance,189484,2
349,361,1025,"Sword in the Stone, The (1963)",Animation|Children|Fantasy|Musical,194412,9
350,362,1028,Mary Poppins (1964),Children|Comedy|Fantasy|Musical,187102,47
351,363,1029,Dumbo (1941),Animation|Children|Drama|Musical,106831,5
352,364,1030,Pete's Dragon (1977),Adventure|Animation|Children|Musical,157283,3
353,365,1031,Bedknobs and Broomsticks (1971),Adventure|Children|Musical,192637,2
354,366,1032,Alice in Wonderland (1951),Adventure|Animation|Children|Fantasy|Musical,100667,1
355,367,1033,"Fox and the Hound, The (1981)",Animation|Children|Drama,149245,10
356,368,1035,"Sound of Music, The (1965)",Musical|Romance,93497,44
357,369,1036,Die Hard (1988),Action|Crime|Thriller,161313,386
358,370,1037,"Lawnmower Man, The (1992)",Action|Horror|Sci-Fi|Thriller,138284,4
359,371,1042,That Thing You Do! (1996),Comedy|Drama,90272,5
360,372,1047,"Long Kiss Goodnight, The (1996)",Action|Drama|Thriller,163094,9
361,373,1049,"Ghost and the Darkness, The (1996)",Action|Adventure,78343,2
362,374,1051,Trees Lounge (1996),Drama,188293,1
363,375,1060,Swingers (1996),Comedy|Drama,128587,3
364,376,1061,Sleepers (1996),Thriller,108019,10
365,377,1064,Aladdin and the King of Thieves (1996),Animation|Children|Comedy|Fantasy|Musical|Romance,155605,3
366,378,1069,"Murder, My Sweet (1944)",Crime|Film-Noir|Thriller,200334,1
367,379,1073,Willy Wonka & the Chocolate Factory (1971),Children|Comedy|Fantasy|Musical,78168,35
368,380,1076,"Innocents, The (1961)",Drama|Horror|Thriller,200261,2
369,381,1077,Sleeper (1973),Comedy|Sci-Fi,125332,3
370,382,1078,Bananas (1971),Comedy|War,83716,1
371,383,1079,"Fish Called Wanda, A (1988)",Comedy|Crime,98909,18
372,384,1080,Monty Python's Life of Brian (1979),Comedy,197190,11
373,385,1083,"Great Race, The (1965)",Comedy|Musical,164027,4
374,386,1084,Bonnie and Clyde (1967),Crime|Drama,150331,4
375,387,1086,Dial M for Murder (1954),Crime|Mystery|Thriller,148501,3
376,388,1088,Dirty Dancing (1987),Drama|Musical|Romance,187205,98
377,389,1089,Reservoir Dogs (1992),Crime|Mystery|Thriller,140122,92
378,390,1090,Platoon (1986),Drama|War,89306,27
379,391,1091,Weekend at Bernie's (1989),Comedy,95533,14
380,392,1092,Basic Instinct (1992),Crime|Mystery|Thriller,178885,10
381,393,1095,Glengarry Glen Ross (1992),Drama,126347,3
382,394,1096,Sophie's Choice (1982),Drama,152969,6
383,395,1097,E.T. the Extra-Terrestrial (1982),Children|Drama|Sci-Fi,92826,72
384,396,1099,"Christmas Carol, A (1938)",Children|Drama|Fantasy,142684,1
385,397,1100,Days of Thunder (1990),Action|Drama|Romance,138241,11
386,398,1101,Top Gun (1986),Action|Romance,162573,37
387,399,1103,Rebel Without a Cause (1955),Drama,93576,3
388,400,1124,On Golden Pond (1981),Drama,153918,5
389,401,1125,"Return of the Pink Panther, The (1975)",Comedy|Crime,78531,3
390,402,1126,Drop Dead Fred (1991),Comedy|Fantasy,127987,2
391,403,1127,"Abyss, The (1989)",Action|Adventure|Sci-Fi|Thriller,191297,15
392,404,1128,"Fog, The (1980)",Horror,100526,5
393,405,1129,Escape from New York (1981),Action|Adventure|Sci-Fi|Thriller,114271,3
394,406,1135,Private Benjamin (1980),Comedy,203660,4
395,407,1136,Monty Python and the Holy Grail (1975),Adventure|Comedy|Fantasy,173333,47
396,408,1162,"Ruling Class, The (1972)",Comedy|Drama,83370,2
397,409,1175,Delicatessen (1991),Comedy|Drama|Romance,124072,2
398,410,1178,Paths of Glory (1957),Drama|War,156931,2
399,411,1183,"English Patient, The (1996)",Drama|Romance|War,98672,18
400,412,1185,My Left Foot (1989),Drama,141964,3
401,413,1189,"Thin Blue Line, The (1988)",Documentary,199674,7
402,414,1192,Paris Is Burning (1990),Documentary,171359,3
403,415,1193,One Flew Over the Cuckoo's Nest (1975),Drama,196692,17
404,416,1197,"Princess Bride, The (1987)",Action|Adventure|Comedy|Fantasy|Romance,106388,157
405,417,1199,Brazil (1985),Fantasy|Sci-Fi,146555,2
406,418,1200,Aliens (1986),Action|Adventure|Horror|Sci-Fi,90486,74
407,419,1202,Withnail & I (1987),Comedy,150179,2
408,420,1203,12 Angry Men (1957),Drama,151837,11
409,421,1204,Lawrence of Arabia (1962),Adventure|Drama|War,138615,9
