,title,databaseId,Unnamed: 0,imdbID,genres,directors,actors,movielensID,year,country
57,The Mummy,191286,27575,53085,Horror,Terence Fisher,"Peter Cushing, Christopher Lee, Yvonne Furneaux",2634,1959.0,UK
58,Ride Along 2,76177,16385,2869728,Action|Comedy,Tim Story,Ice Cube,151315,2016.0,USA
64,The Hills Have Eyes,201991,34303,77681,Horror,Wes Craven,"Suze Lanier-Bramlett, Robert Houston, John Steadman",5588,1977.0,USA
65,Dirty Work,76195,26643,120654,Comedy,Bob Saget,"Norm MacDonald, Artie Lange, Jack Warden",2195,1998.0,Canada
66,North Dallas Forty,76198,30100,79640,Comedy|Drama,Ted Kotcheff,"Nick Nolte, Charles Durning, Mac Davis",3506,1979.0,USA
70,Death at a Funeral,130184,39407,1321509,Comedy,Neil LaBute,"Chris Rock, Martin Lawrence, Keith David",77191,2010.0,USA
71,The Cowboys,76284,41163,68421,Action|Adventure|Drama|Western,Mark Rydell,"John Wayne, Roscoe Lee Browne, Bruce Dern",8334,1972.0,USA
72,My Scientology Movie,76325,19240,5111874,Documentary,John Dower,Louis Theroux,158842,2016.0,UK
73,Blackhat,76336,5898,2717822,Crime|Drama|Mystery,Michael Mann,"Chris Hemsworth, Viola Davis, Wei Tang",120637,2015.0,USA
74,Hereafter,76339,40679,1212419,Drama|Fantasy,Clint Eastwood,"Matt Damon, Cécile De France, Bryce Dallas Howard",81512,2010.0,USA
78,The Parent Trap,79289,26492,120783,Comedy|Drama|Family,Nancy Meyers,"Lindsay Lohan, Dennis Quaid, Natasha Richardson",2059,1998.0,USA
79,Anna and the King,76365,29102,166485,Drama|History|Romance,Andy Tennant,"Jodie Foster, Yun-Fat Chow, Bai Ling",3155,1999.0,USA
80,Beware! The Blob,76391,23859,68271,Comedy|Science Fiction|Horror,Larry Hagman,Robert Walker Jr.,170753,1972.0,USA
82,Brave,76483,44551,1217209,Animation|Adventure|Comedy|Family|Action|Fantasy,Mark Andrews,"Kelly Macdonald, Billy Connolly, Emma Thompson",95167,2012.0,USA
83,The Royal Scandal,76488,38992,281173,Crime|Thriller,Rodney Gibbons,"Matt Frewer, Kenneth Welsh, Liliana Komorowska",74448,2001.0,Canada
84,Chloe,76508,39240,1352824,Drama|Thriller|Mystery,Atom Egoyan,"Julianne Moore, Amanda Seyfried, Liam Neeson",76079,2009.0,USA
85,Mississippi Damned,76512,15617,1169834,,Tina Mabry,Adam Clark,148923,2009.0,USA
87,Cloverfield,84195,34617,1060277,Action|Thriller|Science Fiction,Matt Reeves,"Mike Vogel, Jessica Lucas, Lizzy Caplan",57368,2008.0,USA
88,Okja,76524,24309,3967856,Adventure|Drama|Fantasy|Science Fiction,Joon-ho Bong,Tilda Swinton,171765,2017.0,South Korea
90,Killers,76530,39631,1103153,Action|Comedy|Thriller|Romance,Robert Luketic,"Katherine Heigl, Ashton Kutcher, Tom Selleck",78041,2010.0,USA
94,The Shaggy Dog,78804,31707,393735,Comedy|Family,Brian Robbins,"Tim Allen, Kristin Davis, Craig Kilborn",44399,2006.0,USA
96,No Good Deed,76627,38320,292610,Action|Crime|Drama|Mystery|Thriller,Bob Rafelson,"Samuel L. Jackson, Milla Jovovich, Stellan Skarsgård",7226,2002.0,Germany
97,Double Impact,76636,31225,101764,Thriller|Action|Crime|Drama,Sheldon Lettich,"Jean-Claude Van Damme, Geoffrey Lewis, Alonna Shaw",4200,1991.0,USA
99,First Kill,84488,25960,5884234,Action|Thriller,Steven C. Miller,Bruce Willis,175783,2017.0,Canada
100,Torque,76658,38165,329691,Action,Joseph Kahn,"Martin Henderson, Ice Cube, Monet Mazur",7175,2004.0,USA
101,The Incredible Hulk,76706,35288,800080,Science Fiction|Action|Adventure,Louis Leterrier,"Edward Norton, Liv Tyler, Tim Roth",60040,2008.0,USA
102,All the Pretty Horses,76746,30913,149624,Drama|Romance|Western,Billy Bob Thornton,"Matt Damon, Penélope Cruz, Henry Thomas",4031,2000.0,USA
118,Pinocchio,110875,43340,207653,,Ron Field,"Sandy Duncan, Danny Kaye, Clive Revill",90264,1976.0,USA
120,Ouija,175836,4436,1204977,Horror,Stiles White,"Olivia Cooke, Ana Coto, Daren Kagasoff",115534,2014.0,USA
121,White Men Can't Jump,76781,29446,105812,Comedy|Drama,Ron Shelton,"Wesley Snipes, Woody Harrelson, Rosie Perez",3263,1992.0,USA
122,Contagion,76802,43066,1598778,Drama|Thriller|Science Fiction,Steven Soderbergh,"Matt Damon, Kate Winslet, Jude Law",89470,2011.0,USA
123,Death of a Ghost Hunter,76825,11872,1160317,Horror|Thriller,Sean Tretta,Patti Tindall,138526,2007.0,USA
124,The Sweetest Thing,76829,33610,253867,Romance|Comedy,Roger Kumble,"Cameron Diaz, Thomas Jane, Christina Applegate",5296,2002.0,USA
125,Good Burger,76845,36276,119215,Comedy|Family,Brian Robbins,"Kel Mitchell, Kenan Thompson, Sinbad",6464,1997.0,USA
127,Police Story 2,197770,30365,95403,Action|Crime|Thriller,Jackie Chan,"Jackie Chan, Maggie Cheung, Kwok-Hung Lam",36850,1988.0,Hong Kong
128,Veronica Mars,76849,2880,2771372,Comedy|Drama|Crime,Rob Thomas,"Kristen Bell, Jason Dohring, Enrico Colantoni",109864,2014.0,USA
129,Project Almanac,76861,7951,2436386,Science Fiction|Thriller,Dean Israelite,"Amy Landecker, Sofia Black-D'Elia, Virginia Gardner",127096,2015.0,USA
130,First Sunday,76935,34661,486578,Action|Comedy,David E. Talbert,"Ice Cube, Katt Williams, Tracy Morgan",57522,2008.0,USA
131,Harry Potter and the Goblet of Fire,76940,31005,330373,Adventure|Fantasy|Family,Mike Newell,"Daniel Radcliffe, Emma Watson, Rupert Grint",40815,2005.0,UK
132,Uptown Saturday Night,77043,38490,72351,Comedy,Sidney Poitier,"Sidney Poitier, Bill Cosby, Harry Belafonte",7275,1974.0,USA
133,Identity,77066,36017,309698,Mystery|Thriller,James Mangold,"John Cusack, Ray Liotta, Amanda Peet",6323,2003.0,USA
134,Jack Reacher,77115,45596,790724,Crime|Drama|Thriller,Christopher McQuarrie,"Tom Cruise, Rosamund Pike, Richard Jenkins",99112,2012.0,USA
137,Insidious,196399,41789,1591095,Horror|Thriller,James Wan,"Patrick Wilson, Rose Byrne, Ty Simpkins",85788,2010.0,USA
138,Not Fade Away,77136,45619,1230215,Drama,David Chase,"John Magaro, Jack Huston, Will Brill",99217,2012.0,USA
139,The Living Daylights,77140,30878,93428,Action|Adventure|Thriller,John Glen,"Timothy Dalton, Maryam d'Abo, Jeroen Krabbé",4005,1987.0,UK
140,The Lovely Bones,77141,38484,380510,Fantasy|Drama,Peter Jackson,"Rachel Weisz, Mark Wahlberg, Saoirse Ronan",72731,2009.0,USA
141,Flypaper,77154,43656,1541160,Mystery|Comedy|Crime,Rob Minkoff,"Patrick Dempsey, Ashley Judd, Tim Blake Nelson",91474,2011.0,Germany
145,A Nightmare on Elm Street,119295,39557,1179056,Horror|Mystery|Thriller,Samuel Bayer,"Jackie Earle Haley, Rooney Mara, Kyle Gallner",77798,2010.0,USA
146,Straight to Hell,77176,39846,94048,Action|Western|Comedy|Crime,Alex Cox,"Sy Richardson, Joe Strummer, Dick Rude",7878,1986.0,UK
147,Lethal Weapon 4,77190,26335,122151,Action|Adventure|Comedy|Crime|Thriller,Richard Donner,"Mel Gibson, Danny Glover, Joe Pesci",1918,1998.0,USA
148,Bee Movie,77195,34279,389790,Family|Animation|Adventure|Comedy,Steve Hickner,"Jerry Seinfeld, Renée Zellweger, Matthew Broderick",55768,2007.0,USA
149,Beethoven's 2nd,77216,37040,106375,Family|Comedy,Rod Daniel,"Charles Grodin, Bonnie Hunt, Nicholle Tom",6794,1993.0,USA
150,They Look Like People,77253,14334,4105970,Drama|Horror|Mystery,Perry Blackshear,MacLeod Andrews,145070,2016.0,USA
155,Cleopatra,77330,38150,24991,Drama|Romance,Cecil B. DeMille,"Claudette Colbert, Warren William, Henry Wilcoxon",71717,1934.0,USA
156,Harold and Maude,77352,6848,67185,Comedy|Drama|Romance,Hal Ashby,"Ruth Gordon, Bud Cort, Vivian Pickles",1235,1971.0,USA
162,Black Beauty,166721,43007,66834,Drama|Family,James Hill,"Mark Lester, Walter Slezak, Peter Lee Lawrence",8929,1971.0,UK
163,Encino Man,77363,29381,104187,Comedy|Family,Les Mayfield,"Sean Astin, Brendan Fraser, Pauly Shore",3243,1992.0,USA
164,Full Metal Jacket,77376,6383,93058,Drama|War,Stanley Kubrick,"Matthew Modine, R. Lee Ermey, Vincent D'Onofrio",1222,1987.0,UK
165,American Pie Presents: Band Camp,77384,30818,436058,Comedy,Steve Rash,"Eugene Levy, Tad Hilgenbrink, Arielle Kebbel",39715,2005.0,USA
166,Shade,77388,38835,323939,Action|Thriller|Crime,Damian Nieman,"Joe Nicolo, Carl Mazzocone Sr., George Tovar",7383,2003.0,USA
167,How the West Was Won,77415,42040,56085,Western,John Ford,"James Stewart, John Wayne, Gregory Peck",8661,1962.0,USA
168,Citizen Kane,77455,43903,33467,Mystery|Drama,Orson Welles,"Orson Welles, Joseph Cotten, Dorothy Comingore",923,1941.0,USA
169,Yes,77478,29812,381717,Drama|Romance,Sally Potter,"Joan Allen, Simon Abkarian, Sam Neill",33832,2005.0,UK
173,Triangle,81475,40353,846017,Thriller|Action,Ringo Lam,"Louis Koo, Simon Yam, Honglei Sun",80405,2007.0,China
175,Contact,79320,19071,118884,Drama|Science Fiction|Mystery,Robert Zemeckis,"Jodie Foster, Matthew McConaughey, Tom Skerritt",1584,1997.0,USA
176,Along Came Polly,77597,38155,343135,Comedy|Romance,John Hamburg,"Ben Stiller, Jennifer Aniston, Debra Messing",7173,2004.0,USA
177,17 Again,77609,37079,974661,Comedy,Burr Steers,"Zac Efron, Matthew Perry, Leslie Mann",68135,2009.0,USA
179,Sky High,77610,29960,405325,Adventure|Comedy|Family,Mike Mitchell,"Kurt Russell, Kelly Preston, Michael Angarano",34332,2005.0,USA
180,Abraham Lincoln: Vampire Hunter,77627,44564,1611224,Action|Fantasy|Horror,Timur Bekmambetov,"Benjamin Walker, Rufus Sewell, Dominic Cooper",95207,2012.0,USA
181,Leprechaun,77628,37962,107387,Comedy|Horror|Thriller,Mark Jones,"Warwick Davis, Jennifer Aniston, Ken Olandt",7117,1993.0,USA
191,Peter Pan,100178,38900,54176,Music|Comedy|Family|Fantasy,Vincent J. Donehue,"Mary Martin, Cyril Ritchard, Lynn Fontanne",74089,1960.0,USA
192,The World's End,77666,935,1213663,Comedy|Action|Science Fiction,Edgar Wright,"Simon Pegg, Nick Frost, Martin Freeman",103341,2013.0,UK
193,Star Trek Into Darkness,77670,682,1408101,Action|Adventure|Science Fiction,J.J. Abrams,"Chris Pine, Zachary Quinto, Zoe Saldana",102445,2013.0,USA
194,Indiana Jones and the Last Crusade,77684,8545,97576,Adventure|Action,Steven Spielberg,"Harrison Ford, Sean Connery, Alison Doody",1291,1989.0,USA
196,Wolf Creek,77693,30990,416315,Horror|Thriller,Greg Mclean,"Nathan Phillips, Cassandra Magrath, Kestie Morassi",40723,2005.0,Australia
197,White House Down,77697,934,2334879,Action|Drama|Thriller,Roland Emmerich,"Channing Tatum, Jamie Foxx, Maggie Gyllenhaal",103339,2013.0,USA
198,The Humanoid,77737,7810,80058,Fantasy|Science Fiction,Aldo Lado,"Richard Kiel, Corinne Cléry, Leonard Mann",126591,1979.0,Italy
200,National Treasure,180899,43154,368891,Adventure|Action|Thriller|Mystery,Jon Turteltaub,"Nicolas Cage, Diane Kruger, Justin Bartha",8972,2004.0,USA
201,Clerks,77788,26680,109445,Comedy,Kevin Smith,"Brian O'Halloran, Jeff Anderson, Marilyn Ghigliotti",223,1994.0,USA
205,Prom Night,165728,35091,926129,Crime|Horror,Nelson McCormick,"Brittany Snow, Scott Porter, Jessica Stroup",59306,2008.0,USA
206,A Perfect Murder,77798,26306,120787,Crime|Thriller|Drama,Andrew Davis,"Michael Douglas, Gwyneth Paltrow, Viggo Mortensen",1892,1998.0,USA
207,Stuck on You,77806,38081,338466,Comedy,Bobby Farrelly,"Matt Damon, Greg Kinnear, Eva Mendes",7150,2003.0,USA
209,Live Free or Die,138974,36862,432318,Action|Comedy|Crime,Gregg Kavet,"Aaron Stanford, Paul Schneider, Judah Friedlander",67138,2006.0,USA
210,In Good Company,77866,28889,385267,Comedy|Drama|Romance,Paul Weitz,"Dennis Quaid, Topher Grace, Scarlett Johansson",30822,2004.0,USA
219,The Ring,193220,34507,298130,Horror|Mystery,Gore Verbinski,"Naomi Watts, Martin Henderson, Brian Cox",5679,2002.0,USA
223,The Expendables,157343,40127,1320253,Thriller|Adventure|Action,Sylvester Stallone,"Sylvester Stallone, Jason Statham, Jet Li",79695,2010.0,USA
225,Cars 3,138482,23948,3606752,Adventure|Animation|Comedy|Family,Brian Fee,Owen Wilson,170957,2017.0,USA
226,Spy Game,77898,32741,266987,Action|Crime|Thriller,Tony Scott,"Robert Redford, Brad Pitt, Catherine McCormack",4901,2001.0,Germany
227,Fatal Bond,77905,12582,104233,Thriller|Drama,Vincent Monton,Linda Blair,140505,1991.0,Australia
228,Strange Wilderness,77910,34668,489282,Comedy,Fred Wolf,"Steve Zahn, Allen Covert, Justin Long",57536,2008.0,USA
229,War Room,77918,13020,3832914,Drama,Alex Kendrick,Priscilla C. Shirer,141668,2015.0,USA
230,Akira,77945,8075,94625,Science Fiction|Animation,Katsuhiro Ôtomo,"Nozomu Sasaki, Mami Koyama, Mitsuo Iwata",1274,1988.0,Japan
231,A Low Down Dirty Shame,77946,30648,110399,Action|Comedy|Crime,Keenen Ivory Wayans,"Keenen Ivory Wayans, Charles S. Dutton, Jada Pinkett Smith",387,1994.0,USA
232,Black Mass,77983,10997,1355683,Thriller,Scott Cooper,Johnny Depp,136018,2015.0,USA
233,The First Power,77986,2417,99578,Crime|Thriller|Horror,Robert Resnikoff,"Lou Diamond Phillips, Tracy Griffith, Jeff Kober",108282,1990.0,USA
235,Death Wish,164364,29948,71402,Action|Crime|Drama|Thriller,Michael Winner,"Charles Bronson, Hope Lange, Vincent Gardenia",3430,1974.0,USA
236,Kagemusha,78019,28915,80979,Action|Drama|History|War,Akira Kurosawa,"Tatsuya Nakadai, Tsutomu Yamazaki, Ken'ichi Hagiwara",3091,1980.0,Japan
237,The Double Life of Veronique,78035,5138,101765,Drama|Thriller,Krzysztof Kieslowski,"Irène Jacob, Wladyslaw Kowalski, Halina Gryglaszewska",1176,1991.0,France
238,Wish I Was Here,78058,3737,2870708,Drama|Comedy,Zach Braff,"Zach Braff, Joey King, Pierce Gagnon",112946,2014.0,USA
250,Robin Hood,203619,39582,955308,Action|Adventure,Ridley Scott,"Russell Crowe, Cate Blanchett, Matthew Macfadyen",77866,2010.0,USA
251,Ed Wood,78076,26813,109707,Comedy|Drama|History,Tim Burton,"Johnny Depp, Martin Landau, Sarah Jessica Parker",235,1994.0,USA
253,Enemy,101495,2531,2316411,Thriller|Mystery,Denis Villeneuve,"Jake Gyllenhaal, Mélanie Laurent, Sarah Gadon",108729,2013.0,Canada
254,Joe Dirt 2: Beautiful Loser,78132,11947,4126340,Comedy,Fred Wolf,David Spade,138798,2015.0,USA
255,Chiko,78154,2888,1132474,Drama,Özgür Yildirim,"Denis Moschitto, Moritz Bleibtreu, Volkan Özcan",109893,2008.0,Germany
256,Willy Wonka & the Chocolate Factory,78168,2118,67992,Music|Family|Fantasy,Mel Stuart,"Gene Wilder, Jack Albertson, Peter Ostrum",1073,1971.0,USA
257,The Terminal,78172,41669,362227,Comedy|Drama,Steven Spielberg,"Tom Hanks, Catherine Zeta-Jones, Chi McBride",8529,2004.0,USA
259,Scary Movie,88393,30519,175142,Comedy,Keenen Ivory Wayans,"Anna Faris, Jon Abrahams, Marlon Wayans",3785,2000.0,USA
260,Texas Chainsaw 3D,78201,45756,1572315,Horror|Thriller,John Luessenhop,"Alexandra Daddario, Tania Raymonde, Scott Eastwood",99721,2013.0,USA
264,The Producers,155938,31226,395251,Comedy|Music,Susan Stroman,"Nathan Lane, Matthew Broderick, Uma Thurman",42002,2005.0,USA
265,Halloweentown,78241,7624,173886,Adventure|Comedy|Family|Fantasy|Horror,Duwayne Dunham,"Debbie Reynolds, Kimberly J. Brown, Judith Hoag",125970,1998.0,USA
266,The Room,78267,39081,368226,Drama|Romance,Tommy Wiseau,"Tommy Wiseau, Juliette Danielle, Greg Sestero",74754,2003.0,USA
267,Billy Elliot,78326,30811,249462,Drama|Comedy|Music,Stephen Daldry,"Jamie Bell, Julie Walters, Jean Heywood",3967,2000.0,UK
268,Deadpool,78340,6650,1431045,Action|Adventure|Comedy,Tim Miller,Ryan Reynolds,122904,2016.0,USA
269,The Ghost and the Darkness,78343,1400,116409,Adventure,Stephen Hopkins,"Michael Douglas, Val Kilmer, Tom Wilkinson",1049,1996.0,USA
270,Burglar,78352,30404,92710,Crime|Comedy,Hugh Wilson,"Whoopi Goldberg, Bobcat Goldthwait, G.W. Bailey",3715,1987.0,USA
271,Soylent Green,78354,26437,70723,Mystery|Science Fiction|Thriller,Richard Fleischer,"Charlton Heston, Edward G. Robinson, Leigh Taylor-Young",2009,1973.0,USA
272,Holy Water,78361,6481,1292652,Comedy,Tom Reeve,John Lynch,122455,2009.0,Ireland
276,The Avengers,152748,43164,848228,Science Fiction|Action|Adventure,Joss Whedon,"Robert Downey Jr., Chris Evans, Scarlett Johansson",89745,2012.0,USA
279,Twisted,78426,38652,315297,Action|Adventure|Crime|Drama|Thriller,Philip Kaufman,"Ashley Judd, Samuel L. Jackson, Andy Garcia",7321,2004.0,USA
280,Battlefield Earth,78436,30213,185183,Action|Science Fiction|War,Roger Christian,"John Travolta, Forest Whitaker, Barry Pepper",3593,2000.0,USA
281,Valentine,78445,31110,242998,Horror|Thriller,Jamie Blanks,"Denise Richards, David Boreanaz, Marley Shelton",4143,2001.0,USA
282,Paprika,78453,33591,851578,Animation|Drama|Mystery|Science Fiction|Thriller,Satoshi Kon,"Megumi Hayashibara, Tôru Emori, Katsunosuke Hori",52885,2006.0,Japan
283,Kingdom of Heaven,78475,29618,320661,Drama|Action|Adventure|History|War,Ridley Scott,"Orlando Bloom, Eva Green, Liam Neeson",33162,2005.0,USA
284,Murder in the First,78479,28547,113870,Crime|Drama,Marc Rocco,"Christian Slater, Kevin Bacon, Gary Oldman",280,1995.0,USA
285,The Green Mile,78480,29078,120689,Fantasy|Drama|Crime,Frank Darabont,"Tom Hanks, Michael Clarke Duncan, David Morse",3147,1999.0,USA
286,Over the Top,78491,37651,93692,Action|Drama,Menahem Golan,"Sylvester Stallone, Robert Loggia, Susan Blakely",7016,1987.0,USA
287,Superman II,78504,27633,81573,Action|Adventure|Fantasy|Science Fiction,Richard Lester,"Gene Hackman, Christopher Reeve, Margot Kidder",2641,1980.0,USA
288,The Slammin' Salmon,78510,39236,1135525,Comedy,Kevin Heffernan,"Michael Clarke Duncan, Jay Chandrasekhar, Kevin Heffernan",76060,2009.0,USA
289,The Return of the Pink Panther,78531,3603,72081,Mystery|Comedy|Crime,Blake Edwards,"Peter Sellers, Christopher Plummer, Catherine Schell",1125,1975.0,UK
295,Much Ado About Nothing,101813,32889,107616,Drama|Comedy|Romance,Kenneth Branagh,"Kenneth Branagh, Emma Thompson, Keanu Reeves",497,1993.0,UK
296,A Time to Kill,78562,40387,117913,Crime|Drama|Thriller,Joel Schumacher,"Matthew McConaughey, Sandra Bullock, Samuel L. Jackson",805,1996.0,USA
300,The Host,190727,33332,468492,Horror|Drama|Science Fiction,Joon-ho Bong,"Kang-ho Song, Hie-bong Byeon, Hae-il Park",51709,2006.0,South Korea
302,Criminal,78639,42779,362526,Action|Comedy|Thriller,Gregory Jacobs,"John C. Reilly, Diego Luna, Maggie Gyllenhaal",8862,2004.0,USA
308,Taxi,106022,42954,316732,Thriller|Action|Comedy|Crime,Tim Story,"Queen Latifah, Jimmy Fallon, Gisele Bündchen",8912,2004.0,USA
309,Zeitgeist,78664,34858,1166827,Documentary|History,Peter Joseph,"Chogyam Trungpa, Jordan Maxwell, George Carlin",58376,2007.0,USA
310,Resolution,78665,564,1977895,Horror|Thriller|Mystery,Justin Benson,"Peter Cilella, Vinny Curran, Emily Montague",102066,2012.0,USA
311,They Live,78670,31958,96256,Action|Horror|Science Fiction|Thriller,John Carpenter,"Roddy Piper, Keith David, Meg Foster",4553,1988.0,USA
312,I Think I Love My Wife,78673,33367,770772,Comedy|Romance,Chris Rock,"Chris Rock, Kerry Washington, Gina Torres",51903,2007.0,USA
313,Saturday Night Fever,78719,34537,76666,Drama|Music,John Badham,"John Travolta, Karen Lynn Gorney, Barry Miller",5693,1977.0,USA
314,Snow White and the Seven Dwarfs,78766,35116,29583,Fantasy|Animation|Family,William Cottrell,"Adriana Caselotti, Harry Stockwell, Lucille La Verne",594,1937.0,USA
315,Not Another Happy Ending,78779,7595,1808339,Romance|Comedy|Drama,John McKay,"Karen Gillan, Stanley Weber, Iain De Caestecker",125912,2013.0,UK
319,The In-Laws,197170,36104,314786,Action|Comedy,Andrew Fleming,"Albert Brooks, Michael Douglas, Ryan Reynolds",6374,2003.0,USA
320,The Spy Next Door,78801,39036,1273678,Action|Comedy|Family,Brian Levant,"Jackie Chan, Amber Valletta, Billy Ray Cyrus",74580,2010.0,USA
322,Paparazzi,78807,42687,338325,Action|Drama|Thriller,Paul Abascal,"Cole Hauser, Robin Tunney, Dennis Farina",8835,2004.0,USA
332,Psycho,132482,26856,155975,Mystery|Thriller|Horror,Gus Van Sant,"Vince Vaughn, Anne Heche, Julianne Moore",2389,1998.0,USA
333,Mom and Dad Save the World,78869,32764,104905,Adventure|Comedy|Family|Science Fiction,Greg Beeman,"Teri Garr, Jeffrey Jones, Jon Lovitz",49110,1992.0,USA
335,Click,141566,31993,389860,Comedy|Drama|Fantasy|Romance,Frank Coraci,"Adam Sandler, Kate Beckinsale, Christopher Walken",45672,2006.0,USA
336,Saw VI,78887,38282,1233227,Horror|Mystery,Kevin Greutert,"Tobin Bell, Costas Mandylor, Mark Rolston",72129,2009.0,Canada
337,Eraser,78888,39793,116213,Action|Drama|Mystery|Thriller,Chuck Russell,"Arnold Schwarzenegger, Vanessa Williams, James Caan",786,1996.0,USA
338,Once Upon a Time in the West,78926,5978,64116,Western,Sergio Leone,"Henry Fonda, Charles Bronson, Claudia Cardinale",1209,1968.0,Italy
339,The Adventures of Pinocchio,78929,41048,115472,Animation|Family|Fantasy,Steve Barron,"Martin Landau, Jonathan Taylor Thomas, Geneviève Bujold",828,1996.0,UK
340,Man-Proof,78943,6814,30412,Comedy|Drama|Romance,Richard Thorpe,"Myrna Loy, Franchot Tone, Rosalind Russell",123401,1938.0,USA
341,It's a Free World...,78950,34768,807054,Drama,Ken Loach,"Kierston Wareing, Juliet Ellis, Leslaw Zurek",58029,2007.0,UK
342,Norbit,78958,33123,477051,Comedy,Brian Robbins,"Eddie Murphy, Thandie Newton, Terry Crews",50806,2007.0,USA
346,The Haunting,169948,28119,171363,Horror|Thriller|Fantasy|Mystery,Jan de Bont,"Liam Neeson, Catherine Zeta-Jones, Owen Wilson",2719,1999.0,USA
347,Outland,79001,31714,82869,Science Fiction,Peter Hyams,"Sean Connery, Frances Sternhagen, Peter Boyle",4443,1981.0,UK
348,Alien,79062,6168,78748,Horror|Action|Thriller|Science Fiction,Ridley Scott,"Sigourney Weaver, Tom Skerritt, John Hurt",1214,1979.0,USA
349,Raging Bull,79106,6614,81398,Drama,Martin Scorsese,"Robert De Niro, Cathy Moriarty, Joe Pesci",1228,1980.0,USA
350,Uprising,79114,28219,250798,TV Movie|Drama|History|War,Jon Avnet,"Leelee Sobieski, Hank Azaria, David Schwimmer",27372,2001.0,USA
351,Dances with Wolves,79136,35011,99348,Adventure|Drama|Western,Kevin Costner,"Kevin Costner, Mary McDonnell, Graham Greene",590,1990.0,USA
352,For a Few Dollars More,79142,30359,59578,Western,Sergio Leone,"Clint Eastwood, Lee Van Cleef, Gian Maria Volonté",3681,1965.0,Italy
354,Giant,79187,44452,49261,Action|Drama|Western,George Stevens,"Elizabeth Taylor, Rock Hudson, James Dean",948,1956.0,USA
355,The Wild Geese,79205,31041,78492,Action|Thriller|War,Andrew V. McLaglen,"Richard Burton, Roger Moore, Richard Harris",40973,1978.0,UK
356,May,79206,35461,303361,Drama|Horror|Thriller|Romance,Lucky McKee,"Angela Bettis, Jeremy Sisto, Anna Faris",6063,2002.0,USA
357,Absolutely Anything,79266,10933,1727770,Comedy|Science Fiction,Terry Jones,Simon Pegg,135885,2015.0,UK
